YEAR,STATE,ST_CASE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
2017,1,10001,73,1,1,4,2,1,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2017,1,10002,89,1,1,4,2,1,3,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2017,1,10003,101,1,1,4,2,1,1,2,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2017,1,10004,73,1,1,4,2,2,4,1,4,1,1,1,2,1,2,2,1,2,2,2,2,1,1,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2017,1,10005,13,1,1,4,1,1,3,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2017,1,10006,49,1,1,4,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2017,1,10007,73,1,1,4,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2017,1,10008,3,1,1,4,1,1,4,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2017,1,10009,87,1,1,4,1,1,3,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2017,1,10010,73,1,1,4,2,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2017,1,10011,87,2,1,4,2,1,1,2,1,2,3,2,2,2,2,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2017,1,10012,85,1,1,4,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2017,1,10013,83,2,1,4,1,2,1,1,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2017,1,10014,43,1,1,4,2,2,1,1,4,1,2,1,1,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
